frame_budget_gib	q	k	hidden	p	frame_gib	frame_total_gib	state_mode	status
20	2	2	0	4	7.758332788944244	15.516665577888489	scheduled	frame_bound_only_not_runtime_validated
20	2	3	1	5	6.206665933132172	18.619997799396515	scheduled	frame_bound_only_not_runtime_validated
20	2	4	2	7	4.43333312869072	17.73333251476288	scheduled	frame_bound_only_not_runtime_validated
20	2	5	3	8	3.879166394472122	19.39583197236061	scheduled	frame_bound_only_not_runtime_validated
20	2	6	4	10	3.103332966566086	18.619997799396515	scheduled	frame_bound_only_not_runtime_validated
20	2	7	5	11	2.821212261915207	19.74848583340645	scheduled	frame_bound_only_not_runtime_validated
20	2	8	6	13	2.387179434299469	19.097435474395752	scheduled	frame_bound_only_not_runtime_validated
20	2	9	7	14	2.2166669368743896	19.950002431869507	scheduled	frame_bound_only_not_runtime_validated
20	2	10	8	16	1.939583569765091	19.39583569765091	scheduled	frame_bound_only_not_runtime_validated
20	3	3	0	5	6.206665933132172	18.619997799396515	scheduled	frame_bound_only_not_runtime_validated
20	3	4	1	7	4.43333312869072	17.73333251476288	scheduled	frame_bound_only_not_runtime_validated
20	3	5	2	8	3.879166394472122	19.39583197236061	scheduled	frame_bound_only_not_runtime_validated
20	3	6	3	10	3.103332966566086	18.619997799396515	scheduled	frame_bound_only_not_runtime_validated
20	3	7	4	11	2.821212261915207	19.74848583340645	scheduled	frame_bound_only_not_runtime_validated
20	3	8	5	13	2.387179434299469	19.097435474395752	scheduled	frame_bound_only_not_runtime_validated
20	3	9	6	14	2.2166669368743896	19.950002431869507	scheduled	frame_bound_only_not_runtime_validated
20	3	10	7	16	1.939583569765091	19.39583569765091	scheduled	frame_bound_only_not_runtime_validated
20	4	4	0	7	4.43333312869072	17.73333251476288	scheduled	frame_bound_only_not_runtime_validated
20	4	5	1	8	3.879166394472122	19.39583197236061	scheduled	frame_bound_only_not_runtime_validated
20	4	6	2	10	3.103332966566086	18.619997799396515	scheduled	frame_bound_only_not_runtime_validated
20	4	7	3	11	2.821212261915207	19.74848583340645	scheduled	frame_bound_only_not_runtime_validated
20	4	8	4	13	2.387179434299469	19.097435474395752	scheduled	frame_bound_only_not_runtime_validated
20	4	9	5	14	2.2166669368743896	19.950002431869507	scheduled	frame_bound_only_not_runtime_validated
20	4	10	6	16	1.939583569765091	19.39583569765091	scheduled	frame_bound_only_not_runtime_validated
32	2	2	0	2	15.516664832830429	31.033329665660858	one_resident_state	frame_bound_only_not_runtime_validated
32	2	3	1	3	10.34444347023964	31.033330410718918	scheduled	frame_bound_only_not_runtime_validated
32	2	4	2	4	7.758332788944244	31.033331155776978	scheduled	frame_bound_only_not_runtime_validated
32	2	5	3	5	6.206665933132172	31.033329665660858	scheduled	frame_bound_only_not_runtime_validated
32	2	6	4	6	5.1722221076488495	31.033332645893097	scheduled	frame_bound_only_not_runtime_validated
32	2	7	5	7	4.43333312869072	31.033331900835037	scheduled	frame_bound_only_not_runtime_validated
32	2	8	6	8	3.879166394472122	31.033331155776978	scheduled	frame_bound_only_not_runtime_validated
32	2	9	7	9	3.4481480717658997	31.033332645893097	scheduled	frame_bound_only_not_runtime_validated
32	2	10	8	10	3.103332966566086	31.033329665660858	scheduled	frame_bound_only_not_runtime_validated
32	3	3	0	3	10.34444347023964	31.033330410718918	one_resident_state	frame_bound_only_not_runtime_validated
32	3	4	1	4	7.758332788944244	31.033331155776978	scheduled	frame_bound_only_not_runtime_validated
32	3	5	2	5	6.206665933132172	31.033329665660858	scheduled	frame_bound_only_not_runtime_validated
32	3	6	3	6	5.1722221076488495	31.033332645893097	scheduled	frame_bound_only_not_runtime_validated
32	3	7	4	7	4.43333312869072	31.033331900835037	scheduled	frame_bound_only_not_runtime_validated
32	3	8	5	8	3.879166394472122	31.033331155776978	scheduled	frame_bound_only_not_runtime_validated
32	3	9	6	9	3.4481480717658997	31.033332645893097	scheduled	frame_bound_only_not_runtime_validated
32	3	10	7	10	3.103332966566086	31.033329665660858	scheduled	frame_bound_only_not_runtime_validated
32	4	4	0	4	7.758332788944244	31.033331155776978	one_resident_state	frame_bound_only_not_runtime_validated
32	4	5	1	5	6.206665933132172	31.033329665660858	scheduled	frame_bound_only_not_runtime_validated
32	4	6	2	6	5.1722221076488495	31.033332645893097	scheduled	frame_bound_only_not_runtime_validated
32	4	7	3	7	4.43333312869072	31.033331900835037	scheduled	frame_bound_only_not_runtime_validated
32	4	8	4	8	3.879166394472122	31.033331155776978	scheduled	frame_bound_only_not_runtime_validated
32	4	9	5	9	3.4481480717658997	31.033332645893097	scheduled	frame_bound_only_not_runtime_validated
32	4	10	6	10	3.103332966566086	31.033329665660858	scheduled	frame_bound_only_not_runtime_validated
